trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4, 'e': 0.9991181296463766}",20,0,-101.13875659998926,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.9990756424412622}",20,0,-95.20039719117575,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.4, 'e': 0.9990321561605888}",20,0,-56.448553339485144,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.9989876708478425}",25,13,-110.02835967624588,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 2}",1
46,False,"{'a': 0.4, 'e': 0.9989421865475084}",20,0,-135.72524952511478,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
47,False,"{'a': 0.4, 'e': 0.9988957033050712}",30,0,-202.4958354693809,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
48,False,"{'a': 0.4, 'e': 0.9988482211670138}",30,0,-213.839528293179,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
49,False,"{'a': 0.4, 'e': 0.9987997401808185}",20,0,-119.38930610002093,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.9987502603949663}",30,0,-154.71128562987633,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
51,False,"{'a': 0.4, 'e': 0.9986997818589368}",30,0,-149.22089373602262,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.4, 'e': 0.9986483046232089}",20,0,-75.10952815742898,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
53,False,"{'a': 0.4, 'e': 0.9985958287392593}",25,0,-101.24571658509248,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.9985423542595644}",35,0,-112.63273716910214,"{0: 23, 1: 3, 2: 6, 3: 3, 4: 0}",0
55,False,"{'a': 0.4, 'e': 0.9984878812375985}",20,0,-100.78588461656794,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.9984324097278344}",30,0,-181.76878312977473,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
57,False,"{'a': 0.4, 'e': 0.9983759397857438}",35,8,-158.21877294961232,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 3}",1
58,False,"{'a': 0.4, 'e': 0.9983184714677966}",20,0,-142.01076924449293,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
59,False,"{'a': 0.4, 'e': 0.9982600048314613}",30,0,-125.24046123955291,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
